trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,fixation.started,target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
115,0,115,0,10,245.20940490000066,245.20940490000066,0.032661999997799285,[-0.4740740740740741],[0.2518518518518518],[1],[0],[0],[2.6807875000013155],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
116,0,116,0,5,247.90824019999854,247.90824019999854,0.0165056000041659,[0.38425925925925924],[0.3592592592592593],[1],[0],[0],[1.730211000001873],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
117,0,117,0,10,249.67420229999698,249.67420229999698,0.03080160000536125,[-0.3925925925925926],[0.1935185185185185],[1],[0],[0],[1.515398900002765],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
118,0,118,0,5,251.20643310000014,251.20643310000014,0.016171399998711422,[0.0824074074074074],[0.18518518518518517],[1],[0],[0],[1.599080200001481],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
119,0,119,0,10,252.8423713000011,252.8423713000011,0.03190329999779351,[0.0787037037037037],[0.0712962962962963],[1],[0],[0],[1.0304516999967746],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
120,0,120,0,10,253.90609409999888,253.90609409999888,0.030111499996564817,[-0.1388888888888889],[0.3296296296296296],[1],[0],[0],[1.45114669999748],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
121,0,121,0,10,255.39047249999567,255.39047249999567,0.030683499993756413,[-0.075],[-0.16666666666666666],[1],[0],[0],[2.09854869999981],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
122,0,122,0,5,257.50646060000145,257.50646060000145,0.015956800001731608,[0.13148148148148148],[-0.23425925925925925],[1],[0],[0],[1.7811851000005845],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
123,0,123,0,10,259.32870459999685,259.32870459999685,0.033692600001813844,[0.14351851851851852],[0.03333333333333333],[1],[0],[0],[1.8136946000013268],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
124,0,124,0,5,261.1587864999965,261.1587864999965,0.01676420000148937,[0.27870370370370373],[-0.3574074074074074],[1],[0],[0],[2.196194700001797],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
125,0,125,0,10,263.3991099999985,263.3991099999985,0.03885250000166707,[-0.11481481481481481],[-0.175],[1],[0],[0],[1.4774161000023014],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
126,0,126,0,5,264.9078515000001,264.9078515000001,0.0215018999952008,[0.14814814814814814],[-0.40925925925925927],[1],[0],[0],[2.3818662999983644],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
127,0,127,0,10,267.3230809000015,267.3230809000015,0.029373199999099597,[-0.2361111111111111],[0.09537037037037037],[1],[0],[0],[1.8996480999994674],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
128,0,128,0,10,269.2609395999971,269.2609395999971,0.034597400001075584,[-0.37592592592592594],[-0.39814814814814814],[1],[0],[0],[1.8784212000027765],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
129,0,129,0,10,271.17181739999796,271.17181739999796,0.029770999994070735,[-0.4842592592592593],[0.3398148148148148],[1],[0],[0],[2.200238500001433],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
130,0,130,0,5,273.39385949999996,273.39385949999996,0.019250299999839626,[-0.013888888888888888],[-0.15833333333333333],[1],[0],[0],[2.377085600004648],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
131,0,131,0,5,275.7880068000013,275.7880068000013,0.01462310000351863,[-0.4898148148148148],[-0.12129629629629629],[1],[0],[0],[2.466293700003007],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
132,0,132,0,5,278.279729599999,278.279729599999,0.01900329999625683,[0.3824074074074074],[-0.062037037037037036],[1],[0],[0],[2.2930388000022504],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
133,0,133,0,10,280.6104817000014,280.6104817000014,0.03267790000245441,[-0.35185185185185186],[0.4564814814814815],[1],[0],[0],[2.647657399997115],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
134,0,134,0,10,283.2911273999998,283.2911273999998,0.03034720000141533,[0.4222222222222222],[-0.19722222222222222],[1],[0],[0],[1.6820852999953786],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
